"DASH BOARD
 (수정 금지)",,,,,,,,,,,,,,,,
금융 100억 목표,,26.58%,,,,D-546,,매월 달성할 수익률,,18.45%,전월 실현 수익률,12.73%,[미국10년국채금리],4.49,[DXY],100.76
,,,,,,,,매일 달성할 수익률,,0.88%,전월 실현 수익금,"142,495,110",[장단기 금리차],0.34,[일본10년국채금리],2.79
,,,,,,,,매일 달성할 실현금액,,"18,777,033",당월 실현 수익률,-4976.50%,[USD/KRW 환율],"1,531",[하이일드 스프레드],2.74
2천억 목표,(29.06.30),,,,,,,,,,올해  실현 수익률,70.06%,[USD/JPY 환율],161.14,[XLF-QQQ괴리율],0.08
,,,,,,,,,,,올해  예상 수익률,140.12%,[vix지수],15.98,[ADX 추세강도],0.83%
,,,,,,,,,,,,,,,,
현황 요약,,,,,,,,,,,,,,,,
,총합계,주식,금,채권,코인,현금성,,,,,,,,,,
평가금액,"2,658,180,287","2,176,793,820","138,515,780","17,413,622","291,157,450","34,299,614",,,,,,,,,,
평가손익,"-62,530,494","39,296,539","-22,291,755","-510,474","-79,024,804",0,,,,,,,,,,
수익률,-2.30%,1.84%,-13.86%,-2.85%,-21.35%,,,,,,,,,,,
비중,100.00%,81.89%,5.21%,0.66%,10.95%,1.29%,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
법인 평가금액,"713,258,972","690,564,000",0,"17,413,622",0,"5,281,350",,,,,,,,,,
법인 평가손익,"-83,678,727","-83,168,253",0,"-510,474",0,0,,,,,,,,,,
개인 평가금액,"1,944,921,314","1,486,229,820","138,515,780",0,"291,157,450","29,018,264",,,,,,,,,,
개인 평가손익,"21,148,233","122,464,792","-22,291,755",0,"-79,024,804",0,,,,,,,,,,
