"DASH BOARD
 (수정 금지)",,,,,,,,,,,,,,,,
금융 1억 목표,,49.63%,,,,D-181,,매월 달성할 수익률,,32.55%,전월 실현 수익률,0%,[미국10년국채금리],4.49,[DXY],100.77
,,,,,,,,매일 달성할 수익률,,1.55%,전월 실현 수익금,0,[장단기 금리차],0.34,[일본10년국채금리],2.79
,,,,,,,,매일 달성할 실현금액,,"387,456",당월 실현 수익률,0.00%,[USD/KRW 환율],"1,532",[하이일드 스프레드],2.74
,,,,,,,,,,,올해  실현 수익률,31.61%,[USD/JPY 환율],161.19,[XLF-QQQ괴리율],0.08
,,,,,,,,,,,올해  예상 수익률,63.21%,[vix지수],15.94,[ADX 추세강도],0.83%
,,,,,,,,,,,,,,,,
현황 요약,,,,,,,,,,,,,,,,
,총합계,주식,금,채권,코인,현금성,,,,,,,,,,
평가금액,"49,630,762","38,000,000",0,0,"4,459,775","7,170,987",,,,,,,,,,
평가손익,"12,459,776","13,000,000",0,0,"-540,224",0,,,,,,,,,,
수익률,33.52%,52.00%,0.00%,0.00%,-10.80%,,,,,,,,,,,
비중,100.00%,76.57%,0.00%,0.00%,8.99%,14.45%,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
법인 평가금액,0,0,0,0,0,0,,,,,,,,,,
법인 평가손익,0,0,0,0,0,0,,,,,,,,,,
개인 평가금액,"49,630,762","38,000,000",0,0,"4,459,775","7,170,987",,,,,,,,,,
개인 평가손익,"12,459,776","13,000,000",0,0,"-540,224",0,,,,,,,,,,
